Order ID,Order Date,Requested Delivery Date,Actual Delivery Date,Days of Delay,Quantity Ordered,Quantity Delivered,Carrier Name,Carrier ID,Loading Location,Unloading Location,Cost on the Route,SKU Number,Customer ID,Customer Name,Category of Product,Availability of Product,Price of Product
1,2025-03-01,2025-03-06,2025-03-06,0,175,175,Carrier E,CAR005,Warehouse F,Warehouse G,168,SKU957,CU003,Company E,Dairy,In Stock,3.33
2,2025-03-02,2025-03-06,2025-03-06,0,294,291,Carrier E,CAR002,Warehouse D,Warehouse E,140,SKU115,CU008,Company D,Fruit Juice,In Stock,3.91
3,2025-03-03,2025-03-08,2025-03-09,0,346,346,Carrier C,CAR002,Warehouse F,Warehouse C,130,SKU304,CU005,Company C,Beverage,In Stock,2.18
4,2025-03-04,2025-03-11,2025-03-12,1,509,476,Carrier D,CAR002,Warehouse D,Warehouse C,123,SKU256,CU004,Company C,Beverage,In Stock,2.97
5,2025-03-05,2025-03-09,2025-03-09,0,606,606,Carrier E,CAR004,Warehouse C,Warehouse F,149,SKU430,CU002,Company B,Snack,In Stock,2.84
6,2025-03-06,2025-03-11,2025-03-12,1,523,484,Carrier E,CAR002,Warehouse E,Warehouse G,217,SKU482,CU005,Company A,Dairy,In Stock,2.92
7,2025-03-07,2025-03-10,2025-03-10,0,419,419,Carrier C,CAR004,Warehouse D,Warehouse G,163,SKU404,CU002,Company A,Snack,In Stock,2.19
8,2025-03-08,2025-03-11,2025-03-12,1,520,520,Carrier E,CAR004,Warehouse D,Warehouse C,190,SKU876,CU005,Company E,Dairy,In Stock,3.73
9,2025-03-09,2025-03-16,2025-03-17,0,293,293,Carrier B,CAR004,Warehouse C,Warehouse E,180,SKU864,CU003,Company F,Beverage,In Stock,2.55
10,2025-03-10,2025-03-17,2025-03-17,0,347,317,Carrier C,CAR002,Warehouse D,Warehouse F,204,SKU125,CU005,Company A,Beverage,In Stock,2.53
11,2025-03-11,2025-03-16,2025-03-16,0,462,462,Carrier E,CAR001,Warehouse F,Warehouse D,278,SKU112,CU006,Company E,Beverage,In Stock,3.28
12,2025-03-12,2025-03-16,2025-03-17,1,138,122,Carrier A,CAR003,Warehouse C,Warehouse B,148,SKU956,CU006,Company F,Snack,In Stock,3.86
13,2025-03-13,2025-03-16,2025-03-16,0,522,522,Carrier D,CAR003,Warehouse D,Warehouse G,126,SKU324,CU004,Company E,Tea,In Stock,3.52
14,2025-03-14,2025-03-19,2025-03-19,0,566,532,Carrier E,CAR003,Warehouse D,Warehouse G,150,SKU568,CU006,Company F,Beverage,Out of Stock,1.68
15,2025-03-15,2025-03-18,2025-03-18,0,687,687,Carrier E,CAR001,Warehouse F,Warehouse C,213,SKU985,CU006,Company C,Coffee,In Stock,3.04
